"collection","product_id","product","slug","categories","variations","priced_variations","has_images"
"Conjunto Blanco Rejilla","527","Calsa rejilla blanca","calsa-rejilla-blanca","Calzas","3","0","True"
"Conjunto Blanco Rejilla","518","Short rejilla blanco","short-rejilla-blanco","Shorts","3","0","True"
"Conjunto Blanco Rejilla","496","Top rejilla blanco","top-rejilla-blanco","Tops","3","0","True"
"Conjunto Negro Rejilla","510","Calsa rejilla negra","calsa-rejilla-negra","Calzas","3","0","True"
"Conjunto Negro Rejilla","506","Short rejilla negro","short-rejilla-negro","Shorts","3","0","False"
"Conjunto Negro Rejilla","487","Top rejilla negro","top-rejilla-negro","Tops","3","0","True"
"Featured Row 1","527","Calsa rejilla blanca","calsa-rejilla-blanca","Calzas","3","0","True"
"Featured Row 1","510","Calsa rejilla negra","calsa-rejilla-negra","Calzas","3","0","True"
"Featured Row 1","552","Falda ""Conjunto falda"" bordÃ³","falda-conjunto-falda-bordo","","3","0","True"
"Featured Row 1","216","Short liso blanco","short-liso-blanco","Shorts","3","3","True"
"Featured Row 1","536","Top falda BordÃ³","top-falda-bordo","Tops","3","0","True"
"Featured Row 1","496","Top rejilla blanco","top-rejilla-blanco","Tops","3","0","True"
"Featured Row 1","487","Top rejilla negro","top-rejilla-negro","Tops","3","0","True"
"Featured Row 2","227","Short liso azul","short-liso-azul","Shorts","3","0","True"
"Featured Row 2","195","Short liso celeste","short-liso-celeste","Shorts","3","0","True"
"Featured Row 2","186","Short liso negro","short-liso-negro","Shorts","3","0","True"
"Featured Row 2","205","Short liso verde","short-liso-verde","Shorts","3","0","True"
