"id","name","slug","type","categories","collections","variations","priced_variations","has_images","image_count","price","price_text","installments","transfer"
"248","Campera lisa verde","campera-lisa-verde","variable","Camperas","","3","0","True","5",,"","",""
"257","Campera lisa blanca","campera-lisa-blanca","variable","Camperas","","3","0","True","7",,"","",""
"237","Campera lisa negra","campera-lisa-negra","variable","Camperas","","3","0","True","7",,"","",""
"268","Campera lisa azul","campera-lisa-azul","variable","Camperas","","3","0","True","6",,"","",""
"359","Campera rÃºstico negro","campera-rustico-negro","variable","Camperas","","3","0","True","6",,"","",""
"375","Campera rÃºstico azul","campera-rustico-azul","variable","Camperas","","3","0","True","6",,"","",""
"369","Campera rÃºstico rojo","campera-rustico-rojo","variable","Camperas","","3","0","True","5",,"","",""
"389","Campera rÃºstico blanco","campera-rustico-blanco","variable","Camperas","","3","0","True","7",,"","",""
"318","Short rÃºstico rojo","short-rustico-rojo","variable","Shorts","","3","0","True","6",,"","",""
"329","Short RÃºstico blanco","short-rustico-blanco","variable","Shorts","","3","0","True","7",,"","",""
"341","Short rÃºstico azul","short-rustico-azul","variable","Shorts","","3","0","True","5",,"","",""
"350","Short rÃºstico negro","short-rustico-negro","variable","Shorts","","3","0","True","5",,"","",""
"429","Short ""Tiras blancas"" negro","short-tiras-blancas-negro","variable","Shorts","","3","0","True","5",,"","",""
"438","Short ""Tiras blancas"" celeste","short-tiras-blancas-celeste","variable","Shorts","","3","0","True","5",,"","",""
"448","Short ""Tiras blancas"" Rosa","short-tiras-blancas-rosa","variable","Shorts","","3","0","True","5",,"","",""
"133","Calsa lisa larga negra","calsa-lisa-larga-negra","variable","Calzas","","3","0","True","5",,"","",""
"142","Calsa lisa larga verde","calsa-lisa-larga-verde","variable","Calzas","","3","0","True","7",,"","",""
"154","Calsa lisa larga celeste","calsa-lisa-larga-celeste","variable","Calzas","","3","0","True","4",,"","",""
"162","Calsa lisa larga blanca","calsa-lisa-larga-blanca","variable","Calzas","","3","0","True","5",,"","",""
"172","Calsa lisa azul larga","calsa-lisa-azul-larga","variable","Calzas","","3","0","True","5",,"","",""
"454","Calsa larga ""Tiras blancas"" Negra","calsa-larga-tiras-blancas-negra","variable","Calzas","","3","0","True","5",,"","",""
"463","Calsa Larga ""Tiras blancas"" Celeste","calsa-larga-tiras-blancas-celeste","variable","Calzas","","3","0","True","5",,"","",""
"477","Calsa Larga ""Tiras blancas"" Rosa","calsa-larga-tiras-blancas-rosa","variable","Calzas","","3","0","True","6",,"","",""
"56","Top liso negro","top-liso-negro","variable","Ofertas | Tops","","3","0","True","5",,"","",""
"99","Top liso azul","top-liso-azul","variable","Tops","","3","0","True","5",,"","",""
"93","Top liso verde","top-liso-verde","variable","Tops","","3","0","True","5",,"","",""
"87","Top liso celeste","top-liso-celeste","variable","Tops","","3","0","True","5",,"","",""
"114","Top liso blanco","top-liso-blanco","variable","Tops","","3","0","True","5",,"","",""
"278","Top rustico rojo","top-rustico-rojo","variable","Tops","","3","0","True","5",,"","",""
"288","Top rustico blanco","top-rustico-blanco","variable","Tops","","3","0","False","0",,"","",""
"298","Top rÃºstico negro","top-rustico-negro","variable","Tops","","3","0","True","4",,"","",""
"308","Top rÃºstico azul","top-rustico-azul","variable","Tops","","3","0","True","5",,"","",""
"400","Top ""tiras blancas"" negro","top-tiras-blancas-negro","variable","Tops","","3","0","True","6",,"","",""
"410","Top ""Tiras blancas"" celeste","top-tiras-blancas-celeste","variable","Tops","","3","0","True","5",,"","",""
"420","Top ""Tiras blancas"" Rosa","top-tiras-blancas-rosa","variable","Tops","","3","0","True","5",,"","",""
"506","Short rejilla negro","short-rejilla-negro","variable","Shorts","Conjunto Negro Rejilla","3","0","False","0",,"","",""
"518","Short rejilla blanco","short-rejilla-blanco","variable","Shorts","Conjunto Blanco Rejilla","3","0","True","5",,"","",""
"186","Short liso negro","short-liso-negro","variable","Shorts","Featured Row 2","3","0","True","5",,"","",""
"195","Short liso celeste","short-liso-celeste","variable","Shorts","Featured Row 2","3","0","True","6",,"","",""
"205","Short liso verde","short-liso-verde","variable","Shorts","Featured Row 2","3","0","True","6",,"","",""
"227","Short liso azul","short-liso-azul","variable","Shorts","Featured Row 2","3","0","True","5",,"","",""
"216","Short liso blanco","short-liso-blanco","variable","Shorts","Featured Row 1","3","3","True","5","44990","$ 44.990,00","$7.498 en 6 cuotas sin interÃ©s","$38.242 con Transferencia"
"487","Top rejilla negro","top-rejilla-negro","variable","Tops","Conjunto Negro Rejilla | Featured Row 1","3","0","True","5",,"","",""
"496","Top rejilla blanco","top-rejilla-blanco","variable","Tops","Conjunto Blanco Rejilla | Featured Row 1","3","0","True","6",,"","",""
"510","Calsa rejilla negra","calsa-rejilla-negra","variable","Calzas","Conjunto Negro Rejilla | Featured Row 1","3","0","True","4",,"","",""
"527","Calsa rejilla blanca","calsa-rejilla-blanca","variable","Calzas","Conjunto Blanco Rejilla | Featured Row 1","3","0","True","4",,"","",""
"536","Top falda BordÃ³","top-falda-bordo","variable","Tops","Featured Row 1","3","0","True","3",,"","",""
"544","Top falda azul","top-falda-azul","variable","Tops","","3","0","False","0",,"","",""
"548","Top falda negro","top-falda-negro","variable","Tops","","3","0","False","0",,"","",""
"552","Falda ""Conjunto falda"" bordÃ³","falda-conjunto-falda-bordo","variable","","Featured Row 1","3","0","True","4",,"","",""
